territory_code,territory_name,year,population,area_km2,gdp,tourism_nights,density,log_density,log_gdp,log_tourism_nights
ITF4,Puglia,2020,3953305,19540.5181,71840.6,6674043.0,202.31321297463447,5.309817055805725,11.1822050548343,15.713736381185496
ITF4,Puglia,2021,3933777,19542.6469,78263.9,8836664.0,201.29192427869123,5.304756214000424,11.26784172840978,15.994419987824138
ITF4,Puglia,2022,3922941,19542.6469,82594.0,10765699.0,200.73744462936594,5.301997808551547,11.321692317645532,16.19187561932468
ITF4,Puglia,2023,3907683,19542.6469,83378.9,11054928.0,199.95669061594722,5.298100796178103,11.331150558735628,16.21838685936238
ITF4,Puglia,2024,3890661,19542.6469,,11201922.0,199.08567247356856,5.293735247022079,,16.23159592868536
ITF5,Basilicata,2010,582618,10073.1876,11095.0,1666717.0,57.83849394406196,4.057654539199992,9.314249835366695,14.326366381274253
ITF5,Basilicata,2011,580790,10073.1105,11293.6,1699541.0,57.65746340219339,4.0545196989115455,9.33199147256999,14.345868772569883
ITF5,Basilicata,2012,579360,10073.1105,10972.6,1586060.0,57.51550129426258,4.052054499197369,9.303156535214184,14.276763511482793
ITF5,Basilicata,2013,577550,10073.1105,11167.9,1505987.0,57.33581498981868,4.048925471914727,9.320798870807337,14.224959055166604
ITF5,Basilicata,2014,575814,10073.1105,11009.5,1513785.0,57.163474976274706,4.045915145060449,9.30651381542484,14.230123694969427
ITF5,Basilicata,2015,573236,10073.1105,11997.1,1521335.0,56.90754608519384,4.041427952465443,9.392420232897376,14.23509879682563
ITF5,Basilicata,2016,569887,10073.1105,12391.1,1452154.0,56.57507678487196,4.03556854874134,9.424733751957586,14.18855852934891
ITF5,Basilicata,2017,566405,10073.1105,12410.8,1658621.0,56.2294040157705,4.0294398232042,9.42632234026275,14.321497092199685
ITF5,Basilicata,2018,562968,10073.1105,12712.9,1637111.0,55.888198585729796,4.02335324133847,9.450372504955212,14.308443661018442
ITF5,Basilicata,2019,558587,10073.1105,12504.0,1640736.0,55.45327830961449,4.015540833953425,9.433803872101313,14.310655479616342
ITF5,Basilicata,2020,553254,10073.1105,11304.4,922993.0,54.92384899381378,4.0059476620895795,9.33294730944248,13.7353769294909
ITF5,Basilicata,2021,545130,10073.1768,12450.9,1263765.0,54.116989190540174,3.991148169651224,9.429548188436746,14.049605918682579
ITF5,Basilicata,2022,541168,10073.1768,12583.4,1568518.0,53.7236673935873,3.983853638006655,9.440133764008271,14.265641782479442
ITF5,Basilicata,2023,537577,10073.1768,12651.7,1647590.0,53.36717608292153,3.977195876877786,9.445546872478273,14.314824172091315
ITF5,Basilicata,2024,533233,10073.1768,,1684347.0,52.935931790654166,3.9690823481841844,,14.336888509564705
ITF6,Calabria,2010,1973624,15221.6183,37420.6,3528457.0,129.65927545299175,4.8649100516778025,10.529976633905841,15.076371222867259
