STRUCTURE,STRUCTURE_ID,freq: Time frequency,unit: Unit of measure,sex: Sex,age: Age class,geo: Geopolitical entity (reporting),TIME_PERIOD: Time,OBS_VALUE: Observation value,OBS_FLAG: Observation status (Flag) V2 structure,CONF_STATUS: Confidentiality status (flag)
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF3: Campania,2020,5712143,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF3: Campania,2021,5624260,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF3: Campania,2022,5624420,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF3: Campania,2023,5609536,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF3: Campania,2024,5593906,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF4: Puglia,2010,4090111,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF4: Puglia,2011,4101558,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF4: Puglia,2012,4102797,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF4: Puglia,2013,4090530,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF4: Puglia,2014,4077788,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF4: Puglia,2015,4063269,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF4: Puglia,2016,4043735,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF4: Puglia,2017,4024067,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF4: Puglia,2018,4000966,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF4: Puglia,2019,3975528,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF4: Puglia,2020,3953305,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF4: Puglia,2021,3933777,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF4: Puglia,2022,3922941,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF4: Puglia,2023,3907683,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF4: Puglia,2024,3890661,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF5: Basilicata,2010,582618,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF5: Basilicata,2011,580790,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF5: Basilicata,2012,579360,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF5: Basilicata,2013,577550,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF5: Basilicata,2014,575814,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF5: Basilicata,2015,573236,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF5: Basilicata,2016,569887,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF5: Basilicata,2017,566405,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF5: Basilicata,2018,562968,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF5: Basilicata,2019,558587,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF5: Basilicata,2020,553254,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF5: Basilicata,2021,545130,,
